Year,Value
2010,100
2010,75
2010,80
2010,73
2010,51
2010,50
2010,0
2010,54
2010,42
2010,92
2010,93
2010,50
2010,100
2011,100
2011,83
2011,90
2011,93
2011,52
2011,57
2011,25
2011,60
2011,77
2011,89
2011,75
2011,75
2011,100
2012,100
2012,83
2012,95
2012,88
2012,40
2012,57
2012,20
2012,66
2012,85
2012,89
2012,67
2012,69
2012,100
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2014,100
2014,90
2014,100
2014,88
2014,35
2014,57
2014,20
2014,96
2014,64
2014,100
2014,80
2014,77
2014,100
2015,100
2015,90
2015,100
2015,88
2015,35
2015,57
2015,20
2015,96
2015,69
2015,100
2015,80
2015,77
2015,100
2016,100
2016,100
2016,95
2016,94
2016,53
2016,57
2016,0
2016,96
2016,69
2016,100
2016,100
2016,92
2016,92
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2018,80
2018,70
2018,60
2018,80
2018,53
2018,80
2018,40
2018,53
2018,60
2018,60
2018,60
2018,40
2018,40
