Year,International organisations,Value
2010,UNGA,0.52083
2010,IFC,0.54945
2010,IBRD,0.53476
2010,IMF,0.54945
2010,ECOSOC,1.85185
2010,WTO,0.65359
2011,UNGA,0.51813
2011,IFC,
2011,IBRD,
2011,IMF,
2011,ECOSOC,1.85185
2011,WTO,
2012,UNGA,0.51813
2012,IFC,
2012,IBRD,
2012,IMF,
2012,ECOSOC,1.85185
2012,WTO,
2013,UNGA,0.51813
2013,IFC,
2013,IBRD,
2013,IMF,
2013,ECOSOC,
2013,WTO,
2014,UNGA,0.51813
2014,IFC,
2014,IBRD,
2014,IMF,
2014,ECOSOC,
2014,WTO,
2015,UNGA,0.51813
2015,IFC,0.54348
2015,IBRD,0.53191
2015,IMF,0.53191
2015,ECOSOC,
2015,WTO,0.625
2016,UNGA,0.51813
2016,IFC,0.54348
2016,IBRD,0.53191
2016,IMF,0.53191
2016,ECOSOC,1.85185
2016,WTO,0.61728
2017,UNGA,0.51813
2017,IFC,0.54348
2017,IBRD,0.5291
2017,IMF,0.5291
2017,ECOSOC,1.85185
2017,WTO,0.60976
2018,UNGA,0.51813
2018,IFC,0.54348
2018,IBRD,0.5291
2018,IMF,0.5291
2018,ECOSOC,1.85185
2018,WTO,0.60976
