Year,Area of residence,Sex,Value
2010,,,11.7
2010,Urban,,10.1
2010,Rural,,12.8
2010,,Men,14.0
2010,,Women,9.4
2011,,,10.9
2011,Urban,,9.3
2011,Rural,,12.0
2011,,Men,13.6
2011,,Women,8.2
2012,,,9.8
2012,Urban,,8.2
2012,Rural,,10.8
2012,,Men,9.6
2012,,Women,10.1
2013,,,9.4
2013,Urban,,9.7
2013,Rural,,9.4
2013,,Men,9.3
2013,,Women,9.7
2014,,,9.7
2014,Urban,,7.3
2014,Rural,,11.0
2014,,Men,11.3
2014,,Women,7.7
2015,,,9.7
2015,Urban,,8.9
2015,Rural,,10.1
2015,,Men,11.2
2015,,Women,8.2
2016,,,9.4
2016,Urban,,9.0
2016,Rural,,9.7
2016,,Men,10.6
2016,,Women,8.1
2017,,,9.7
2017,Urban,,8.6
2017,Rural,,10.3
2017,,Men,10.8
2017,,Women,8.5
2018,,,10.0
2018,Urban,,10.0
2018,Rural,,10.0
2018,,Men,11.6
2018,,Women,8.3
