Year,Sex (15-24 years),Sex (15-29 years),Sex ( 15-34 years),Value
2010,Both sexes,,,
2010,Men,,,
2010,Women,,,
2010,,Both sexes,,
2010,,Men,,
2010,,Women,,
2010,,,Both sexes,
2010,,,Men,
2010,,,Women,
2011,Both sexes,,,
2011,Men,,,
2011,Women,,,
2011,,Both sexes,,
2011,,Men,,
2011,,Women,,
2011,,,Both sexes,
2011,,,Men,
2011,,,Women,
2012,Both sexes,,,
2012,Men,,,
2012,Women,,,
2012,,Both sexes,,
2012,,Men,,
2012,,Women,,
2012,,,Both sexes,
2012,,,Men,
2012,,,Women,
2013,Both sexes,,,
2013,Men,,,
2013,Women,,,
2013,,Both sexes,,
2013,,Men,,
2013,,Women,,
2013,,,Both sexes,
2013,,,Men,
2013,,,Women,
2014,Both sexes,,,27.9
2014,Men,,,29.8
2014,Women,,,25.7
2014,,Both sexes,,36.2
2014,,Men,,35.2
2014,,Women,,37.4
2014,,,Both sexes,38.4
2014,,,Men,36.6
2014,,,Women,40.2
2015,Both sexes,,,27.7
2015,Men,,,29.6
2015,Women,,,25.6
2015,,Both sexes,,36.3
2015,,Men,,35.8
2015,,Women,,37
2015,,,Both sexes,38.9
2015,,,Men,37.9
2015,,,Women,40
2016,Both sexes,,,26.8
2016,Men,,,28.8
2016,Women,,,24.6
2016,,Both sexes,,35
2016,,Men,,34.7
2016,,Women,,35.3
2016,,,Both sexes,37.8
2016,,,Men,36.7
2016,,,Women,39
2017,Both sexes,,,19.4
2017,Men,,,16.6
2017,Women,,,22.5
2017,,Both sexes,,26.4
2017,,Men,,20.1
2017,,Women,,33.4
2017,,,Both sexes,29.4
2017,,,Men,22.2
2017,,,Women,36.9
2018,Both sexes,,,16.2
2018,Men,,,14.6
2018,Women,,,17.9
2018,,Both sexes,,23.9
2018,,Men,,18.1
2018,,Women,,30.2
2018,,,Both sexes,27.1
2018,,,Men,20.2
2018,,,Women,34.1
