Year,Total,Area of residence,Sex,Value
2010,Total,,,7.4
2010,,Urban,,7.2
2010,,Rural,,7.5
2010,,,Man,9.1
2010,,,Woman,5.7
2011,Total,,,6.9
2011,,Urban,,6.3
2011,,Rural,,7.2
2011,,,Man,8.6
2011,,,Woman,5.1
2012,Total,,,6.4
2012,,Urban,,6
2012,,Rural,,6.6
2012,,,Man,6.4
2012,,,Woman,6.4
2013,Total,,,6.2
2013,,Urban,,7.1
2013,,Rural,,5.6
2013,,,Man,6.3
2013,,,Woman,6
2014,Total,,,6.2
2014,,Urban,,4.9
2014,,Rural,,7
2014,,,Man,7.5
2014,,,Woman,4.8
2015,Total,,,6.4
2015,,Urban,,6.1
2015,,Rural,,6.5
2015,,,Man,7.7
2015,,,Woman,4.9
2016,Total,,,6.4
2016,,Urban,,6.5
2016,,Rural,,6.4
2016,,,Man,7.4
2016,,,Woman,5.4
2017,Total,,,6
2017,,Urban,,6.1
2017,,Rural,,6
2017,,,Man,6.6
2017,,,Woman,5.4
2018,Total,,,6.7
2018,,Urban,,7.9
2018,,Rural,,5.9
2018,,,Man,7.5
2018,,,Woman,5.7
