Year,Area of residence,Age group,Level of education,Form of violence,Value
2010,,,,,26.8
2010,Urban,,,,18.8
2010,Rural,,,,33.1
2010,,15-24,,,33.3
2010,,25-34,,,33.4
2010,,35-44,,,23.8
2010,,45-54,,,25.8
2010,,55-65,,,21.3
2010,,,Higher,,26.0
2010,,,Secondary specialized,,22.0
2010,,,Secondary vocational,,28.5
2010,,,Secondary school,,21.4
2010,,,Gymnasium,,37.0
2010,,,,Psychological,25.7
2010,,,,Physics,8.9
2010,,,,Sexual,4.1
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,15-24,,,
2011,,25-34,,,
2011,,35-44,,,
2011,,45-54,,,
2011,,55-65,,,
2011,,,Higher,,
2011,,,Secondary specialized,,
2011,,,Secondary vocational,,
2011,,,Secondary school,,
2011,,,Gymnasium,,
2011,,,,Psychological,
2011,,,,Physics,
2011,,,,Sexual,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,15-24,,,
2012,,25-34,,,
2012,,35-44,,,
2012,,45-54,,,
2012,,55-65,,,
2012,,,Higher,,
2012,,,Secondary specialized,,
2012,,,Secondary vocational,,
2012,,,Secondary school,,
2012,,,Gymnasium,,
2012,,,,Psychological,
2012,,,,Physics,
2012,,,,Sexual,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,15-24,,,
2013,,25-34,,,
2013,,35-44,,,
2013,,45-54,,,
2013,,55-65,,,
2013,,,Higher,,
2013,,,Secondary specialized,,
2013,,,Secondary vocational,,
2013,,,Secondary school,,
2013,,,Gymnasium,,
2013,,,,Psychological,
2013,,,,Physics,
2013,,,,Sexual,
2014,,,,,
2014,Urban,,,,
2014,Rural,,,,
2014,,15-24,,,
2014,,25-34,,,
2014,,35-44,,,
2014,,45-54,,,
2014,,55-65,,,
2014,,,Higher,,
2014,,,Secondary specialized,,
2014,,,Secondary vocational,,
2014,,,Secondary school,,
2014,,,Gymnasium,,
2014,,,,Psychological,
2014,,,,Physics,
2014,,,,Sexual,
2015,,,,,
2015,Urban,,,,
2015,Rural,,,,
2015,,15-24,,,
2015,,25-34,,,
2015,,35-44,,,
2015,,45-54,,,
2015,,55-65,,,
2015,,,Higher,,
2015,,,Secondary specialized,,
2015,,,Secondary vocational,,
2015,,,Secondary school,,
2015,,,Gymnasium,,
2015,,,,Psychological,
2015,,,,Physics,
2015,,,,Sexual,
2016,,,,,
2016,Urban,,,,
2016,Rural,,,,
2016,,15-24,,,
2016,,25-34,,,
2016,,35-44,,,
2016,,45-54,,,
2016,,55-65,,,
2016,,,Higher,,
2016,,,Secondary specialized,,
2016,,,Secondary vocational,,
2016,,,Secondary school,,
2016,,,Gymnasium,,
2016,,,,Psychological,
2016,,,,Physics,
2016,,,,Sexual,
2017,,,,,
2017,Urban,,,,
2017,Rural,,,,
2017,,15-24,,,
2017,,25-34,,,
2017,,35-44,,,
2017,,45-54,,,
2017,,55-65,,,
2017,,,Higher,,
2017,,,Secondary specialized,,
2017,,,Secondary vocational,,
2017,,,Secondary school,,
2017,,,Gymnasium,,
2017,,,,Psychological,
2017,,,,Physics,
2017,,,,Sexual,
2018,,,,,
2018,Urban,,,,
2018,Rural,,,,
2018,,15-24,,,
2018,,25-34,,,
2018,,35-44,,,
2018,,45-54,,,
2018,,55-65,,,
2018,,,Higher,,
2018,,,Secondary specialized,,
2018,,,Secondary vocational,,
2018,,,Secondary school,,
2018,,,Gymnasium,,
2018,,,,Psychological,
2018,,,,Physics,
2018,,,,Sexual,
