Year,RESEDINTA,SEX,GRUPE_VIRSTA,GRUPE_VIRSTA_II,GRUPE_VIRSTE_II_SEX,GRUPE_VIRSTA_III,GRUPE_VIRSTE_III_SEX,STAT_OCUP,Value
2010,,,,,,,,,
2010,urban,,,,,,,,
2010,rural,,,,,,,,
2010,,barbat,,,,,,,
2010,,femeie,,,,,,,
2010,,,15-24,,,,,,
2010,,,25-34,,,,,,
2010,,,35-44,,,,,,
2010,,,45-54,,,,,,
2010,,,55+,,,,,,
2010,,,,0-14,,,,,
2010,,,,15+,,,,,
2010,,,,,barbat,,,,
2010,,,,,femeie,,,,
2010,,,,,,15-24,,,
2010,,,,,,,barbat,,
2010,,,,,,,femeie,,
2010,,,,,,25+,,,
2010,,,,,,,barbat,,
2010,,,,,,,femeie,,
2010,,,,,,,,fermieri,
2010,,,,,,,,angajati in sectorul agrar,
2010,,,,,,,,angajati in sectorul non-agrar,
2010,,,,,,,,angajati cont propriu,
2010,,,,,,,,pensionari,
2010,,,,,,,,alte,
2011,,,,,,,,,
2011,urban,,,,,,,,
2011,rural,,,,,,,,
2011,,barbat,,,,,,,
2011,,femeie,,,,,,,
2011,,,15-24,,,,,,
2011,,,25-34,,,,,,
2011,,,35-44,,,,,,
2011,,,45-54,,,,,,
2011,,,55+,,,,,,
2011,,,,0-14,,,,,
2011,,,,15+,,,,,
2011,,,,,barbat,,,,
2011,,,,,femeie,,,,
2011,,,,,,15-24,,,
2011,,,,,,,barbat,,
2011,,,,,,,femeie,,
2011,,,,,,25+,,,
2011,,,,,,,barbat,,
2011,,,,,,,femeie,,
2011,,,,,,,,fermieri,
2011,,,,,,,,angajati in sectorul agrar,
2011,,,,,,,,angajati in sectorul non-agrar,
2011,,,,,,,,angajati cont propriu,
2011,,,,,,,,pensionari,
2011,,,,,,,,alte,
2012,,,,,,,,,
2012,urban,,,,,,,,
2012,rural,,,,,,,,
2012,,barbat,,,,,,,
2012,,femeie,,,,,,,
2012,,,15-24,,,,,,
2012,,,25-34,,,,,,
2012,,,35-44,,,,,,
2012,,,45-54,,,,,,
2012,,,55+,,,,,,
2012,,,,0-14,,,,,
2012,,,,15+,,,,,
2012,,,,,barbat,,,,
2012,,,,,femeie,,,,
2012,,,,,,15-24,,,
2012,,,,,,,barbat,,
2012,,,,,,,femeie,,
2012,,,,,,25+,,,
2012,,,,,,,barbat,,
2012,,,,,,,femeie,,
2012,,,,,,,,fermieri,
2012,,,,,,,,angajati in sectorul agrar,
2012,,,,,,,,angajati in sectorul non-agrar,
2012,,,,,,,,angajati cont propriu,
2012,,,,,,,,pensionari,
2012,,,,,,,,alte,
2013,,,,,,,,,
2013,urban,,,,,,,,
2013,rural,,,,,,,,
2013,,barbat,,,,,,,
2013,,femeie,,,,,,,
2013,,,15-24,,,,,,
2013,,,25-34,,,,,,
2013,,,35-44,,,,,,
2013,,,45-54,,,,,,
2013,,,55+,,,,,,
2013,,,,0-14,,,,,
2013,,,,15+,,,,,
2013,,,,,barbat,,,,
2013,,,,,femeie,,,,
2013,,,,,,15-24,,,
2013,,,,,,,barbat,,
2013,,,,,,,femeie,,
2013,,,,,,25+,,,
2013,,,,,,,barbat,,
2013,,,,,,,femeie,,
2013,,,,,,,,fermieri,
2013,,,,,,,,angajati in sectorul agrar,
