Year,Sex,Age group,Persons with disabilities,Value
2010,,,,
2010,Men,,,
2010,Women,,,
2010,,15-24,,
2010,,25-34,,
2010,,35-44,,
2010,,45-54,,
2010,,55-64,,
2010,,65+,,
2010,,,Persons with disabilities,
2011,,,,
2011,Men,,,
2011,Women,,,
2011,,15-24,,
2011,,25-34,,
2011,,35-44,,
2011,,45-54,,
2011,,55-64,,
2011,,65+,,
2011,,,Persons with disabilities,
2012,,,,
2012,Men,,,
2012,Women,,,
2012,,15-24,,
2012,,25-34,,
2012,,35-44,,
2012,,45-54,,
2012,,55-64,,
2012,,65+,,
2012,,,Persons with disabilities,
2013,,,,
2013,Men,,,
2013,Women,,,
2013,,15-24,,
2013,,25-34,,
2013,,35-44,,
2013,,45-54,,
2013,,55-64,,
2013,,65+,,
2013,,,Persons with disabilities,
2014,,,,3.7
2014,Men,,,4.5
2014,Women,,,2.9
2014,,15-24,,9.3
2014,,25-34,,4.6
2014,,35-44,,4.0
2014,,45-54,,2.5
2014,,55-64,,1.6
2014,,65+,,0.0
2014,,,Persons with disabilities,
2015,,,,4.7
2015,Men,,,5.9
2015,Women,,,3.4
2015,,15-24,,12.3
2015,,25-34,,6.4
2015,,35-44,,4.5
2015,,45-54,,2.7
2015,,55-64,,2.3
2015,,65+,,0.5
2015,,,Persons with disabilities,
2016,,,,4.0
2016,Men,,,5.2
2016,Women,,,2.7
2016,,15-24,,11.0
2016,,25-34,,5.2
2016,,35-44,,3.7
2016,,45-54,,3.2
2016,,55-64,,1.9
2016,,65+,,0.1
2016,,,Persons with disabilities,
2017,,,,3.9
2017,Men,,,4.5
2017,Women,,,3.2
2017,,15-24,,11.9
2017,,25-34,,5.0
2017,,35-44,,3.8
2017,,45-54,,2.6
2017,,55-64,,2.0
2017,,65+,,0.2
2017,,,Persons with disabilities,2.7
2018,,,,2.9
2018,Men,,,3.4
2018,Women,,,2.4
2018,,15-24,,7.1
2018,,25-34,,4.3
2018,,35-44,,2.3
2018,,45-54,,2.5
2018,,55-64,,1.8
2018,,65+,,0.3
2018,,,Persons with disabilities,1.8
