Year,Type of allowance,Value
2010,,1.7
2010,Social aid,1
2010,Aid for the cold period of the year,0.7
2011,,1.7
2011,Social aid,1
2011,Aid for the cold period of the year,0.7
2012,,1.3
2012,Social aid,1.1
2012,Aid for the cold period of the year,0.2
2013,,0.8
2013,Social aid,0.6
2013,Aid for the cold period of the year,0.2
2014,,0.8
2014,Social aid,0.5
2014,Aid for the cold period of the year,0.3
2015,,1.2
2015,Social aid,0.9
2015,Aid for the cold period of the year,0.4
2016,,1.7
2016,Social aid,1.2
2016,Aid for the cold period of the year,0.5
2017,,1.5
2017,Social aid,1
2017,Aid for the cold period of the year,0.5
2018,,1.3
2018,Social aid,0.9
2018,Aid for the cold period of the year,0.4
