Year,Sex,Age group,Statistical regions,Occupations,Value
2010,,,,,
2010,Men,,,,
2010,Women,,,,
2010,,15-24,,,
2010,,25 and over,,,
2010,,,Mun. Chisnau,,
2010,,,North,,
2010,,,Center,,
2010,,,South,,
2010,,,,"Legislators, executive members and other officials and heads/leaders",
2010,,,,Specialists in various fields of activity,
2010,,,,Technicians and other middle-level  qualification specialists,
2010,,,,Administrative officers,
2010,,,,Workers in the field of services and trade,
2010,,,,"Qualified workers in agriculture, forestry, aquaculture, pisciculture and fishing",
2010,,,,Qualified and assimilated workers,
2010,,,,Other occupations,
2010,,,,"Other occupations - of which, non-skilled workers",
2011,,,,,
2011,Men,,,,
2011,Women,,,,
2011,,15-24,,,
2011,,25 and over,,,
2011,,,Mun. Chisnau,,
2011,,,North,,
2011,,,Center,,
2011,,,South,,
2011,,,,"Legislators, executive members and other officials and heads/leaders",
2011,,,,Specialists in various fields of activity,
2011,,,,Technicians and other middle-level  qualification specialists,
2011,,,,Administrative officers,
2011,,,,Workers in the field of services and trade,
2011,,,,"Qualified workers in agriculture, forestry, aquaculture, pisciculture and fishing",
2011,,,,Qualified and assimilated workers,
2011,,,,Other occupations,
2011,,,,"Other occupations - of which, non-skilled workers",
2012,,,,,
2012,Men,,,,
2012,Women,,,,
2012,,15-24,,,
2012,,25 and over,,,
2012,,,Mun. Chisnau,,
2012,,,North,,
2012,,,Center,,
2012,,,South,,
2012,,,,"Legislators, executive members and other officials and heads/leaders",
2012,,,,Specialists in various fields of activity,
2012,,,,Technicians and other middle-level  qualification specialists,
2012,,,,Administrative officers,
2012,,,,Workers in the field of services and trade,
2012,,,,"Qualified workers in agriculture, forestry, aquaculture, pisciculture and fishing",
2012,,,,Qualified and assimilated workers,
2012,,,,Other occupations,
2012,,,,"Other occupations - of which, non-skilled workers",
2013,,,,,
2013,Men,,,,
2013,Women,,,,
2013,,15-24,,,
2013,,25 and over,,,
2013,,,Mun. Chisnau,,
2013,,,North,,
2013,,,Center,,
2013,,,South,,
2013,,,,"Legislators, executive members and other officials and heads/leaders",
2013,,,,Specialists in various fields of activity,
2013,,,,Technicians and other middle-level  qualification specialists,
2013,,,,Administrative officers,
2013,,,,Workers in the field of services and trade,
2013,,,,"Qualified workers in agriculture, forestry, aquaculture, pisciculture and fishing",
2013,,,,Qualified and assimilated workers,
2013,,,,Other occupations,
2013,,,,"Other occupations - of which, non-skilled workers",
2014,,,,,9.7
2014,Men,,,,9.3
2014,Women,,,,10.1
2014,,15-24,,,11.0
2014,,25 and over,,,9.6
