Year,Area of residence,Sex of the head of the household,"Age of the head of the household, years",Quintiles on consumption expenditures,Household type,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Men,,,,
2010,,Women,,,,
2010,,,<30,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60-64,,,
2010,,,65+,,,
2010,,,,I,,
2010,,,,Ii,,
2010,,,,Iii,,
2010,,,,Iv,,
2010,,,,V,,
2010,,,,,With children up to 18 years,
2010,,,,,Without children up to 18 years,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Men,,,,
2011,,Women,,,,
2011,,,<30,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60-64,,,
2011,,,65+,,,
2011,,,,I,,
2011,,,,Ii,,
2011,,,,Iii,,
2011,,,,Iv,,
2011,,,,V,,
2011,,,,,With children up to 18 years,
2011,,,,,Without children up to 18 years,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Men,,,,
2012,,Women,,,,
2012,,,<30,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60-64,,,
2012,,,65+,,,
2012,,,,I,,
2012,,,,Ii,,
2012,,,,Iii,,
2012,,,,Iv,,
2012,,,,V,,
2012,,,,,With children up to 18 years,
2012,,,,,Without children up to 18 years,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Men,,,,
2013,,Women,,,,
2013,,,<30,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60-64,,,
2013,,,65+,,,
2013,,,,I,,
2013,,,,Ii,,
2013,,,,Iii,,
2013,,,,Iv,,
2013,,,,V,,
2013,,,,,With children up to 18 years,
2013,,,,,Without children up to 18 years,
2014,,,,,,15.4
2014,Urban,,,,,14.0
2014,Rural,,,,,16.4
2014,,Men,,,,14.8
2014,,Women,,,,16.8
2014,,,<30,,,13.5
2014,,,30-39,,,8.2
2014,,,40-49,,,9.6
2014,,,50-59,,,16.8
2014,,,60-64,,,18.5
2014,,,65+,,,29.8
2014,,,,I,,10.2
2014,,,,Ii,,12.6
2014,,,,Iii,,16.8
2014,,,,Iv,,18.4
2014,,,,V,,19.2
2014,,,,,With children up to 18 years,11.6
2014,,,,,Without children up to 18 years,19.7
2015,,,,,,18.0
2015,Urban,,,,,17.7
2015,Rural,,,,,18.3
2015,,Men,,,,16.5
2015,,Women,,,,21.4
2015,,,<30,,,8.6
2015,,,30-39,,,12.5
2015,,,40-49,,,12.5
2015,,,50-59,,,18.2
2015,,,60-64,,,24.5
2015,,,65+,,,33.8
2015,,,,I,,12.7
2015,,,,Ii,,15.1
2015,,,,Iii,,19.1
2015,,,,Iv,,19.3
2015,,,,V,,23.9
2015,,,,,With children up to 18 years,13.0
2015,,,,,Without children up to 18 years,23.5
2016,,,,,,17.2
2016,Urban,,,,,17.2
2016,Rural,,,,,17.1
2016,,Men,,,,16.1
2016,,Women,,,,19.2
2016,,,<30,,,9.2
2016,,,30-39,,,11.1
2016,,,40-49,,,11.1
2016,,,50-59,,,18.4
2016,,,60-64,,,23.5
2016,,,65+,,,31.1
2016,,,,I,,12.1
2016,,,,Ii,,14.4
2016,,,,Iii,,16.3
2016,,,,Iv,,20.8
2016,,,,V,,22.2
2016,,,,,With children up to 18 years,11.7
2016,,,,,Without children up to 18 years,22.9
2017,,,,,,16.3
2017,Urban,,,,,15.6
2017,Rural,,,,,16.8
2017,,Men,,,,14.9
2017,,Women,,,,19.0
2017,,,<30,,,7.1
2017,,,30-39,,,7.9
2017,,,40-49,,,9.9
2017,,,50-59,,,17.9
2017,,,60-64,,,24.3
2017,,,65+,,,31.9
2017,,,,I,,12.3
2017,,,,Ii,,15.6
2017,,,,Iii,,15.6
2017,,,,Iv,,16.7
2017,,,,V,,21.2
2017,,,,,With children up to 18 years,11.3
2017,,,,,Without children up to 18 years,21.6
2018,,,,,,13.1
2018,Urban,,,,,13.5
2018,Rural,,,,,12.8
2018,,Men,,,,12.1
2018,,Women,,,,15.1
2018,,,<30,,,7.1
2018,,,30-39,,,8.9
2018,,,40-49,,,9.8
2018,,,50-59,,,11.2
2018,,,60-64,,,18.0
2018,,,65+,,,25.3
2018,,,,I,,7.9
2018,,,,Ii,,12.2
2018,,,,Iii,,12.8
2018,,,,Iv,,13.3
2018,,,,V,,19.3
2018,,,,,With children up to 18 years,10.4
2018,,,,,Without children up to 18 years,15.9
