Year,Sex,Age group,Area of residence of the respondents,Discrimination criteria,Status of persons,Entities in which their were discriminated,Value
2010,,,,,,,
2010,Men,,,,,,
2010,Women,,,,,,
2010,,18-29,,,,,
2010,,30-44,,,,,
2010,,45-59,,,,,
2010,,60+,,,,,
2010,,,Urban,,,,
2010,,,Rural,,,,
2010,,,,Social status,,,
2010,,,,Age,,,
2010,,,,Mental disability,,,
2010,,,,Physical disability,,,
2010,,,,Sexual orientation,,,
2010,,,,Existence of a criminal record,,,
2010,,,,HIV status,,,
2010,,,,Roma ethnicity,,,
2010,,,,Sex/gender,,,
2010,,,,Other ethnicity,,,
2010,,,,Religion,,,
2010,,,,Other,,,
2010,,,,,Individuals,,
2010,,,,,Legal entities,,
2010,,,,,Persons with a position of responsibility,,
2010,,,,,,Polyclinic,
2010,,,,,,Place of work,
2010,,,,,,Police,
2010,,,,,,Town hall,
2010,,,,,,Street,
2010,,,,,,Social assistance,
2010,,,,,,School,
2010,,,,,,Shop,
2010,,,,,,Church,
2010,,,,,,Other,
2011,,,,,,,
2011,Men,,,,,,
2011,Women,,,,,,
2011,,18-29,,,,,
2011,,30-44,,,,,
2011,,45-59,,,,,
2011,,60+,,,,,
2011,,,Urban,,,,
2011,,,Rural,,,,
2011,,,,Social status,,,
2011,,,,Age,,,
2011,,,,Mental disability,,,
2011,,,,Physical disability,,,
2011,,,,Sexual orientation,,,
2011,,,,Existence of a criminal record,,,
2011,,,,HIV status,,,
2011,,,,Roma ethnicity,,,
2011,,,,Sex/gender,,,
2011,,,,Other ethnicity,,,
2011,,,,Religion,,,
2011,,,,Other,,,
2011,,,,,Individuals,,
2011,,,,,Legal entities,,
2011,,,,,Persons with a position of responsibility,,
2011,,,,,,Polyclinic,
2011,,,,,,Place of work,
2011,,,,,,Police,
2011,,,,,,Town hall,
2011,,,,,,Street,
2011,,,,,,Social assistance,
2011,,,,,,School,
2011,,,,,,Shop,
2011,,,,,,Church,
2011,,,,,,Other,
2012,,,,,,,
2012,Men,,,,,,
2012,Women,,,,,,
2012,,18-29,,,,,
2012,,30-44,,,,,
2012,,45-59,,,,,
2012,,60+,,,,,
2012,,,Urban,,,,
2012,,,Rural,,,,
2012,,,,Social status,,,
2012,,,,Age,,,
2012,,,,Mental disability,,,
2012,,,,Physical disability,,,
2012,,,,Sexual orientation,,,
2012,,,,Existence of a criminal record,,,
2012,,,,HIV status,,,
2012,,,,Roma ethnicity,,,
2012,,,,Sex/gender,,,
2012,,,,Other ethnicity,,,
2012,,,,Religion,,,
