Year,"Total, 15-24 years",Sex,"Total, 15-29  years","Total, 15-34  years",Value
2010,Total,,,,
2010,,Man,,,
2010,,Woman,,,
2010,,,Total,,
2010,,Man,,,
2010,,Woman,,,
2010,,,,Total,
2010,,Man,,,
2010,,Woman,,,
2011,Total,,,,
2011,,Man,,,
2011,,Woman,,,
2011,,,Total,,
2011,,Man,,,
2011,,Woman,,,
2011,,,,Total,
2011,,Man,,,
2011,,Woman,,,
2012,Total,,,,
2012,,Man,,,
2012,,Woman,,,
2012,,,Total,,
2012,,Man,,,
2012,,Woman,,,
2012,,,,Total,
2012,,Man,,,
2012,,Woman,,,
2013,Total,,,,
2013,,Man,,,
2013,,Woman,,,
2013,,,Total,,
2013,,Man,,,
2013,,Woman,,,
2013,,,,Total,
2013,,Man,,,
2013,,Woman,,,
2014,Total,,,,27.9
2014,,Man,,,29.8
2014,,Woman,,,25.7
2014,,,Total,,36.2
2014,,Man,,,35.2
2014,,Woman,,,37.4
2014,,,,Total,38.4
2014,,Man,,,36.6
2014,,Woman,,,40.2
2015,Total,,,,27.7
2015,,Man,,,29.6
2015,,Woman,,,25.6
2015,,,Total,,36.3
2015,,Man,,,35.8
2015,,Woman,,,37.0
2015,,,,Total,38.9
2015,,Man,,,37.9
2015,,Woman,,,40.0
2016,Total,,,,26.8
2016,,Man,,,28.8
2016,,Woman,,,24.6
2016,,,Total,,35.0
2016,,Man,,,34.7
2016,,Woman,,,35.3
2016,,,,Total,37.8
2016,,Man,,,36.7
2016,,Woman,,,39.0
2017,Total,,,,19.4
2017,,Man,,,16.6
2017,,Woman,,,22.5
2017,,,Total,,26.4
2017,,Man,,,20.1
2017,,Woman,,,33.4
2017,,,,Total,29.4
2017,,Man,,,22.2
2017,,Woman,,,36.9
2018,Total,,,,16.2
2018,,Man,,,14.6
2018,,Woman,,,17.9
2018,,,Total,,23.9
2018,,Man,,,18.1
2018,,Woman,,,30.2
2018,,,,Total,27.1
2018,,Man,,,20.2
2018,,Woman,,,34.1
