Year,"Quintile I, by area of residence","Total, by area of residence",Value
2010,"Total, quintile I",,
2010,"Urban, quintile I",,
2010,"Rural, quintile I",,
2010,,Total,
2010,,Urban,
2010,,Rural,
2011,"Total, quintile I",,
2011,"Urban, quintile I",,
2011,"Rural, quintile I",,
2011,,Total,
2011,,Urban,
2011,,Rural,
2012,"Total, quintile I",,
2012,"Urban, quintile I",,
2012,"Rural, quintile I",,
2012,,Total,
2012,,Urban,
2012,,Rural,
2013,"Total, quintile I",,
2013,"Urban, quintile I",,
2013,"Rural, quintile I",,
2013,,Total,
2013,,Urban,
2013,,Rural,
2014,"Total, quintile I",,6.0
2014,"Urban, quintile I",,2.8
2014,"Rural, quintile I",,8.3
2014,,Total,12.0
2014,,Urban,10.7
2014,,Rural,12.3
2015,"Total, quintile I",,9.3
2015,"Urban, quintile I",,3.2
2015,"Rural, quintile I",,13.6
2015,,Total,18.2
2015,,Urban,14.0
2015,,Rural,18.8
2016,"Total, quintile I",,12.5
2016,"Urban, quintile I",,4.7
2016,"Rural, quintile I",,18.2
2016,,Total,23.4
2016,,Urban,21.5
2016,,Rural,23.7
2017,"Total, quintile I",,13.2
2017,"Urban, quintile I",,4.7
2017,"Rural, quintile I",,19.3
2017,,Total,26.5
2017,,Urban,16.7
2017,,Rural,27.9
2018,"Total, quintile I",,12.8
2018,"Urban, quintile I",,4.7
2018,"Rural, quintile I",,18.5
2018,,Total,27.0
2018,,Urban,17.9
2018,,Rural,28.6
