Year,Sub-indicators,Value
2010,Maternal mortality (per 1000 women of reproductive age),44.5
2010,Early neonatal mortality (per 1000 live births),5.9
2010,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2010,Abortion (per 1000 women of reproductive age),
2010,,
2011,Maternal mortality (per 1000 women of reproductive age),15.3
2011,Early neonatal mortality (per 1000 live births),5.4
2011,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2011,Abortion (per 1000 women of reproductive age),16.1
2011,,
2012,Maternal mortality (per 1000 women of reproductive age),30.4
2012,Early neonatal mortality (per 1000 live births),4.9
2012,"Modern contraception (women of reproductive age use modern methods of contraception), %",31.6
2012,Abortion (per 1000 women of reproductive age),15.3
2012,,
2013,Maternal mortality (per 1000 women of reproductive age),15.8
2013,Early neonatal mortality (per 1000 live births),4.6
2013,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2013,Abortion (per 1000 women of reproductive age),15.1
2013,,
2014,Maternal mortality (per 1000 women of reproductive age),15.5
2014,Early neonatal mortality (per 1000 live births),4.5
2014,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2014,Abortion (per 1000 women of reproductive age),14.5
2014,,
2015,Maternal mortality (per 1000 women of reproductive age),31.1
2015,Early neonatal mortality (per 1000 live births),4.7
2015,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2015,Abortion (per 1000 women of reproductive age),14.8
2015,,
2016,Maternal mortality (per 1000 women of reproductive age),18.7
2016,Early neonatal mortality (per 1000 live births),4.6
2016,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2016,Abortion (per 1000 women of reproductive age),14.2
2016,,
2017,Maternal mortality (per 1000 women of reproductive age),17.6
2017,Early neonatal mortality (per 1000 live births),4.0
2017,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2017,Abortion (per 1000 women of reproductive age),12.9
2017,,
2018,Maternal mortality (per 1000 women of reproductive age),15.3
2018,Early neonatal mortality (per 1000 live births),4.5
2018,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2018,Abortion (per 1000 women of reproductive age),11.7
2018,,
