Year,Sex,The basis for the registration of the property right,Other rights (encumbrance),Value
2010,,,,
2010,Men,,,
2010,Women,,,
2010,,Sale,,
2010,,Legacy,,
2010,,Trade donation,,
2010,,Other documents,,
2010,,,Mortgage,
2010,,,Lease,
2010,,,Primary,
2011,,,,
2011,Men,,,
2011,Women,,,
2011,,Sale,,
2011,,Legacy,,
2011,,Trade donation,,
2011,,Other documents,,
2011,,,Mortgage,
2011,,,Lease,
2011,,,Primary,
2012,,,,
2012,Men,,,
2012,Women,,,
2012,,Sale,,
2012,,Legacy,,
2012,,Trade donation,,
2012,,Other documents,,
2012,,,Mortgage,
2012,,,Lease,
2012,,,Primary,
2013,,,,
2013,Men,,,
2013,Women,,,
2013,,Sale,,
2013,,Legacy,,
2013,,Trade donation,,
2013,,Other documents,,
2013,,,Mortgage,
2013,,,Lease,
2013,,,Primary,
2014,,,,
2014,Men,,,
2014,Women,,,
2014,,Sale,,
2014,,Legacy,,
2014,,Trade donation,,
2014,,Other documents,,
2014,,,Mortgage,
2014,,,Lease,
2014,,,Primary,
2015,,,,
2015,Men,,,
2015,Women,,,
2015,,Sale,,
2015,,Legacy,,
2015,,Trade donation,,
2015,,Other documents,,
2015,,,Mortgage,
2015,,,Lease,
2015,,,Primary,
2016,,,,
2016,Men,,,
2016,Women,,,
2016,,Sale,,
2016,,Legacy,,
2016,,Trade donation,,
2016,,Other documents,,
2016,,,Mortgage,
2016,,,Lease,
2016,,,Primary,
2017,,,,
2017,Men,,,
2017,Women,,,
2017,,Sale,,
2017,,Legacy,,
2017,,Trade donation,,
2017,,Other documents,,
2017,,,Mortgage,
2017,,,Lease,
2017,,,Primary,
2018,,,,
2018,Men,,,
2018,Women,,,
2018,,Sale,,
2018,,Legacy,,
2018,,Trade donation,,
2018,,Other documents,,
2018,,,Mortgage,
2018,,,Lease,
2018,,,Primary,
