Year,Area of residence,Sex,Value
2010,,,13.6
2010,Urban,,11.8
2010,Rural,,14.7
2010,,Men,16.2
2010,,Women,10.9
2011,,,13.4
2011,Urban,,10.8
2011,Rural,,15.1
2011,,Men,16.1
2011,,Women,10.6
2012,,,12.1
2012,Urban,,9.5
2012,Rural,,13.7
2012,,Men,12.1
2012,,Women,12.1
2013,,,11.9
2013,Urban,,11.7
2013,Rural,,11.9
2013,,Men,11.8
2013,,Women,11.9
2014,,,11.7
2014,Urban,,9.3
2014,Rural,,13
2014,,Men,13.4
2014,,Women,9.7
2015,,,11.7
2015,Urban,,10.8
2015,Rural,,12.2
2015,,Men,13.8
2015,,Women,9.5
2016,,,11.7
2016,Urban,,10.3
2016,Rural,,12.4
2016,,Men,13
2016,,Women,10.3
2017,,,11.4
2017,Urban,,10.3
2017,Rural,,12.1
2017,,Men,12.4
2017,,Women,10.3
2018,,,11.8
2018,Urban,,11.1
2018,Rural,,12.2
2018,,Men,13.4
2018,,Women,10.1
