Year,Area of residence,Sex,Age group,Value
2010,,,,,26.8
2010,Urban,,,,27.8
2010,Rural,,,,25.9
2010,,Men,,,11.7
2010,,Women,,,37.8
2010,,,0-17,,26.9
2010,,,18-29,,26.9
2010,,,30-39,,30.5
2010,,,40-49,,22
2010,,,50-59,,21.4
2010,,,60+,,47.1
2011,,,,,53.9
2011,Urban,,,,14.3
2011,Rural,,,,5.9
2011,,Men,,,28
2011,,Women,,,20.6
2011,,,0-17,,23.4
2011,,,18-29,,24.7
2011,,,30-39,,22.3
2011,,,40-49,,9.6
2011,,,50-59,,33.5
2011,,,60+,,22.8
2012,,,,,23.9
2012,Urban,,,,26.7
2012,Rural,,,,18.7
2012,,Men,,,17.8
2012,,Women,,,46.7
2012,,,0-17,,41.8
2012,,,18-29,,11.4
2012,,,30-39,,20.9
2012,,,40-49,,24.7
2012,,,50-59,,24
2012,,,60+,,20.4
2013,,,,,21.4
2013,Urban,,,,19.5
2013,Rural,,,,9.2
2013,,Men,,,28.6
2013,,Women,,,19.4
2013,,,0-17,,21.1
2013,,,18-29,,23.5
2013,,,30-39,,15.3
2013,,,40-49,,15.4
2013,,,50-59,,37.8
2013,,,60+,,41.7
2014,,,,29.5,10.9
2014,Urban,,,15.6,0
2014,Rural,,,39.5,22.6
2014,,Men,,30.4,18.5
2014,,Women,,28.7,15.8
2014,,,0-17,32.9,16.9
2014,,,18-29,25.4,14.9
2014,,,30-39,29.1,5.2
2014,,,40-49,27.5,23.8
2014,,,50-59,27,15.8
2014,,,60+,33.4,17.4
2015,,,,25.4,18.9
2015,Urban,,,11.2,11.7
2015,Rural,,,35.6,10.6
2015,,Men,,26.5,29.2
2015,,Women,,24.4,40.3
2015,,,0-17,27.7,9.5
2015,,,18-29,22.6,10.6
2015,,,30-39,22.4,13.8
2015,,,40-49,24.7,15.9
2015,,,50-59,24.2,14.9
2015,,,60+,28.8,15.9
2016,,,,26.4,14.1
2016,Urban,,,11.6,5.7
2016,Rural,,,37.1,21.9
2016,,Men,,26.8,15.1
2016,,Women,,26.1,15.3
2016,,,0-17,28.7,18.1
2016,,,18-29,20.9,11.7
2016,,,30-39,22.9,9.6
2016,,,40-49,26.6,28.4
2016,,,50-59,25.1,34.1
2016,,,60+,31.6,11.2
2017,,,,27.7,11.1
2017,Urban,,,11.8,13.2
2017,Rural,,,38.8,12.5
2017,,Men,,28.8,15.6
2017,,Women,,26.7,16.9
2017,,,0-17,30.9,14.5
2017,,,18-29,26.1,5.3
2017,,,30-39,22.3,23.4
2017,,,40-49,29.1,16.7
2017,,,50-59,24.1,16.4
2017,,,60+,31,17.1
2018,,,,23,12.6
2018,Urban,,,10.6,10.5
2018,Rural,,,31.5,33.6
2018,,Men,,23.3,40.2
2018,,Women,,22.6,9.2
2018,,,0-17,24.4,0
2018,,,18-29,21.5,13.7
2018,,,30-39,20.3,15.1
2018,,,40-49,23.1
2018,,,50-59,21
2018,,,60+,25.4
