Year,Sex,Forms of ownership,Value
2010,,,
2010,Women,,
2010,Men,,
2010,,Stat,
2010,,Nonstate,
2011,,,
2011,Women,,
2011,Men,,
2011,,Stat,
2011,,Nonstate,
2012,,,
2012,Women,,
2012,Men,,
2012,,Stat,
2012,,Nonstate,
2013,,,93.8
2013,Women,,93.7
2013,Men,,94.2
2013,,Stat,93.7
2013,,Nonstate,98.6
2014,,,98.1
2014,Women,,97.7
2014,Men,,98.6
2014,,Stat,98.0
2014,,Nonstate,100.0
2015,,,99.2
2015,Women,,99.2
2015,Men,,97.4
2015,,Stat,99.2
2015,,Nonstate,98.4
2016,,,99.1
2016,Women,,99.2
2016,Men,,94.1
2016,,Stat,99.1
2016,,Nonstate,99.5
2017,,,99.0
2017,Women,,99.1
2017,Men,,91.5
2017,,Stat,99.0
2017,,Nonstate,98.0
2018,,,98.9
2018,Women,,99.1
2018,Men,,88.8
2018,,Stat,99.1
2018,,Nonstate,93.7
