Year,Regions,Quintiles on consumption expenditures,Sex of the head of the household,Value
2010,,,,
2010,,,,
2010,,,,
2010,North,,,
2010,Center,,,
2010,South,,,
2010,Mun. Chișinău,,,
2010,,I,,
2010,,II,,
2010,,III,,
2010,,IV,,
2010,,V,,
2010,,,Men,
2010,,,Women,
2011,,,,
2011,,,,
2011,,,,
2011,North,,,
2011,Center,,,
2011,South,,,
2011,Mun. Chișinău,,,
2011,,I,,
2011,,II,,
2011,,III,,
2011,,IV,,
2011,,V,,
2011,,,Men,
2011,,,Women,
2012,,,,
2012,,,,
2012,,,,
2012,North,,,
2012,Center,,,
2012,South,,,
2012,Mun. Chișinău,,,
2012,,I,,
2012,,II,,
2012,,III,,
2012,,IV,,
2012,,V,,
2012,,,Men,
2012,,,Women,
2013,,,,
2013,,,,
2013,,,,
2013,North,,,
2013,Center,,,
2013,South,,,
2013,Mun. Chișinău,,,
2013,,I,,
2013,,II,,
2013,,III,,
2013,,IV,,
2013,,V,,
2013,,,Men,
2013,,,Women,
2014,,,,73.1
2014,,,,95.5
2014,,,,56.9
2014,North,,,52.4
2014,Center,,,66.9
2014,South,,,81.9
2014,Mun. Chișinău,,,98.1
2014,,I,,48.9
2014,,II,,65.9
2014,,III,,74
2014,,IV,,85.1
2014,,V,,91.3
2014,,,Men,73.3
2014,,,Women,72.6
2015,,,,77
2015,,,,95.6
2015,,,,63.6
2015,North,,,57
2015,Center,,,70.1
2015,South,,,89.9
2015,Mun. Chișinău,,,98.8
2015,,I,,56
2015,,II,,71.3
2015,,III,,76.1
2015,,IV,,87.7
2015,,V,,93.7
2015,,,Men,76.8
2015,,,Women,77.3
2016,,,,77.2
2016,,,,95.3
2016,,,,64.2
2016,North,,,57.2
2016,Center,,,71.2
2016,South,,,89.4
2016,Mun. Chișinău,,,98.7
2016,,I,,56.7
2016,,II,,71.4
2016,,III,,79.2
2016,,IV,,85.5
2016,,V,,93.5
2016,,,Men,77.1
2016,,,Women,77.6
2017,,,,80.8
2017,,,,95.7
2017,,,,70.4
2017,North,,,61
2017,Center,,,80.2
2017,South,,,89.4
2017,Mun. Chișinău,,,98
2017,,I,,61.1
2017,,II,,75.5
2017,,III,,82
2017,,IV,,89.7
2017,,V,,95.7
2017,,,Men,81.1
2017,,,Women,80.2
2018,,,,82.1
2018,,,,97
2018,,,,71.7
2018,North,,,62.7
2018,Center,,,81.5
2018,South,,,91.7
2018,Mun. Chișinău,,,97.9
2018,,I,,65.1
2018,,II,,78.7
2018,,III,,82.4
2018,,IV,,88.9
2018,,V,,95.4
2018,,,Men,82.5
2018,,,Women,81.3
