Year,Product sectors,Value
2010,"""AGR""",83
2010,"""ALP""",71.8
2010,"""ARM""",100
2010,"""CLO""",41.3
2010,"""IND""",89.1
2010,"""TEX""",79.4
2011,"""AGR""",
2011,"""ALP""",
2011,"""ARM""",
2011,"""CLO""",
2011,"""IND""",
2011,"""TEX""",
2012,"""AGR""",
2012,"""ALP""",
2012,"""ARM""",
2012,"""CLO""",
2012,"""IND""",
2012,"""TEX""",
2013,"""AGR""",
2013,"""ALP""",
2013,"""ARM""",
2013,"""CLO""",
2013,"""IND""",
2013,"""TEX""",
2014,"""AGR""",
2014,"""ALP""",
2014,"""ARM""",
2014,"""CLO""",
2014,"""IND""",
2014,"""TEX""",
2015,"""AGR""",82.5
2015,"""ALP""",65.7
2015,"""ARM""",100
2015,"""CLO""",35.4
2015,"""IND""",82.7
2015,"""TEX""",71.3
2016,"""AGR""",74
2016,"""ALP""",51.4
2016,"""ARM""",
2016,"""CLO""",24.6
2016,"""IND""",72.2
2016,"""TEX""",51.9
2017,"""AGR""",76.6
2017,"""ALP""",65.5
2017,"""ARM""",
2017,"""CLO""",39
2017,"""IND""",83.4
2017,"""TEX""",69.7
2018,"""AGR""",
2018,"""ALP""",
2018,"""ARM""",
2018,"""CLO""",
2018,"""IND""",
2018,"""TEX""",
