Year,Area of residence,Sex,Age group,Age group/Sex 1,Age group/Sex 2,Employment status,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,Men,,,,,
2010,,Women,,,,,
2010,,,15-24,,,,
2010,,,25-34,,,,
2010,,,35-44,,,,
2010,,,45-54,,,,
2010,,,55+,,,,
2010,,,,0-14 / Total,,,
2010,,,,15+ / Total,,,
2010,,,,15+ / Men,,,
2010,,,,15+ / Women,,,
2010,,,,,15-24 / Total,,
2010,,,,,15-24 / Men,,
2010,,,,,15-24 / Women,,
2010,,,,,25+ / Total,,
2010,,,,,25+ / Men,,
2010,,,,,25+ / Women,,
2010,,,,,,Farmers,
2010,,,,,,Employed in the agricultural sector,
2010,,,,,,Employed in the non-agricultural sector,
2010,,,,,,Self-employed,
2010,,,,,,Retirees,
2010,,,,,,Other,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,Men,,,,,
2011,,Women,,,,,
2011,,,15-24,,,,
2011,,,25-34,,,,
2011,,,35-44,,,,
2011,,,45-54,,,,
2011,,,55+,,,,
2011,,,,0-14 / Total,,,
2011,,,,15+ / Total,,,
2011,,,,15+ / Men,,,
2011,,,,15+ / Women,,,
2011,,,,,15-24 / Total,,
2011,,,,,15-24 / Men,,
2011,,,,,15-24 / Women,,
2011,,,,,25+ / Total,,
2011,,,,,25+ / Men,,
2011,,,,,25+ / Women,,
2011,,,,,,Farmers,
2011,,,,,,Employed in the agricultural sector,
2011,,,,,,Employed in the non-agricultural sector,
2011,,,,,,Self-employed,
2011,,,,,,Retirees,
2011,,,,,,Other,
2012,,,,,,,
2012,Urban,,,,,,
2012,Rural,,,,,,
2012,,Men,,,,,
2012,,Women,,,,,
2012,,,15-24,,,,
2012,,,25-34,,,,
2012,,,35-44,,,,
2012,,,45-54,,,,
2012,,,55+,,,,
2012,,,,0-14 / Total,,,
2012,,,,15+ / Total,,,
2012,,,,15+ / Men,,,
2012,,,,15+ / Women,,,
2012,,,,,15-24 / Total,,
2012,,,,,15-24 / Men,,
2012,,,,,15-24 / Women,,
2012,,,,,25+ / Total,,
2012,,,,,25+ / Men,,
2012,,,,,25+ / Women,,
2012,,,,,,Farmers,
2012,,,,,,Employed in the agricultural sector,
2012,,,,,,Employed in the non-agricultural sector,
2012,,,,,,Self-employed,
2012,,,,,,Retirees,
2012,,,,,,Other,
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,Men,,,,,
2013,,Women,,,,,
2013,,,15-24,,,,
2013,,,25-34,,,,
2013,,,35-44,,,,
2013,,,45-54,,,,
2013,,,55+,,,,
2013,,,,0-14 / Total,,,
2013,,,,15+ / Total,,,
2013,,,,15+ / Men,,,
2013,,,,15+ / Women,,,
2013,,,,,15-24 / Total,,
2013,,,,,15-24 / Men,,
2013,,,,,15-24 / Women,,
2013,,,,,25+ / Total,,
2013,,,,,25+ / Men,,
2013,,,,,25+ / Women,,
2013,,,,,,Farmers,
2013,,,,,,Employed in the agricultural sector,
2013,,,,,,Employed in the non-agricultural sector,
2013,,,,,,Self-employed,
2013,,,,,,Retirees,
2013,,,,,,Other,
2014,,,,,,,7.0
2014,Urban,,,,,,2.5
2014,Rural,,,,,,10.3
2014,,Men,,,,,7.4
2014,,Women,,,,,6.7
