Year,Total,Types of income,Value
2010,Total,,31.95
2010,,Taxes,17.89
2010,,Social contributions,8.7
2010,,Grants,2.32
2010,,Other incomes,3.04
2011,Total,,30.5
2011,,Taxes,18.05
2011,,Social contributions,8.3
2011,,Grants,1.72
2011,,Other incomes,2.43
2012,Total,,31.77
2012,,Taxes,18.99
2012,,Social contributions,8.48
2012,,Grants,1.55
2012,,Other incomes,2.75
2013,Total,,30.85
2013,,Taxes,19.15
2013,,Social contributions,8.13
2013,,Grants,1.74
2013,,Other incomes,1.83
2014,Total,,31.79
2014,,Taxes,18.16
2014,,Social contributions,8.07
2014,,Grants,3.09
2014,,Other incomes,2.47
2015,Total,,29.95
2015,,Taxes,18.02
2015,,Social contributions,8.32
2015,,Grants,1.41
2015,,Other incomes,2.2
2016,Total,,28.55
2016,,Taxes,18.17
2016,,Social contributions,8.25
2016,,Grants,0.85
2016,,Other incomes,1.28
2017,Total,,29.84
2017,,Taxes,19.27
2017,,Social contributions,8.67
2017,,Grants,0.56
2017,,Other incomes,2.33
2018,Total,,30.13
2018,,Taxes,19.56
2018,,Social contributions,8.91
2018,,Grants,0.2
2018,,Other incomes,1.45
